"account","activities","low","calculated","start","end"
"GBX4DFPMLHWVTNIUXSVXTYGUFEDXGOELMAQEB62ME4V3XCE3SSYQTBM7","10","495852727.8881015","495852727.8881015","496873561.2214348","495852727.8881015"
"GABRX5TXYADKB3N6E4GYCE2HGJBSNK7DBKV43RGJUD2DXBMJ3R2G7YLE","6","424717000.0000303","424717000.0000303","449777000.0000303","424717000.0000303"
"GB6RCQJSOV5KRXFHOTSFEWQWPDDF6HK5EM6OQ6BEKD6LMWU6EDAJ52OW","22","4221929.5717511","4221929.5717511","5890751.4590338","5237356.5742062"
"GCMOMUPDMCTQ3WA4ALUTHGP5P73XKYUHWKNXYMXEWKN2PSIAXINU4JTN","10","4759532.0000024","5729532.0000024","4854532.0000024","5729532.0000024"
"GA7DHMQG3KWNMZA2HHR6BYMUG4QR2DR5BBH6NHR2PNVYGXYFCJQK2IP2","12","4101750","4101750","4366750","4101750"
"GDM5QJEPCNE5JU56RGVZY2MUZKHNIXRRYDYLVTXPUSU6ZCXWCETCXYJR","7","2224980","2224980","2314990","2224980"
"GAIINVN72YIXE5H5LLIGY22HYG3GHR2S5MAMG7OTUBPIHQB2RLP4WC5H","77","120000.282315","120000.282315","746679.8003338","120000.282315"
"GCXV3BDZYI3DODQZME737RW2GGKZZC4SWHXTG3PVU6BAHWNNSKZRIS3J","1","714890.7639465","729890.7639465","714890.7639465","729890.7639465"
"GBG4SQR2RBQUY646HEDZ7XJFKG4FZTCM5EKDPHXEZNTK2FY47K7MFSQ3","2","463552.163344","493552.163344","463552.163344","493552.163344"
"GDDLPMYPXX57KOTFPWD2QRQWCIXUBW7MGT2B36U2RWPKSQWZ65C6KRIS","17","101000.8979562","101000.8979562","407001.3073361","101000.8979562"
"GC2ILNJKC2OYCURIS3LK2IPNKLYZQBYXDO7MPGJO3Q5UHS3EBKSMJPEG","0","400000","400000","400000","400000"
"GCC5O2VLZSIZTF3D33DTZEJ32JMPCHWTLK6HFX2ZNMGAZJP3VRQU3PWQ","0","352656.714178","352656.714178","352656.714178","352656.714178"
"GAKZUU37GYKLS667XXC7CVY2CIYFDTEPTUPX6GUJGWXTWYBED2Y3HHTN","7","313058.7152359","373043.7152359","313058.7152359","373043.7152359"
"GBVJGHBW6HET6DSCMG2SM7HRBCBOTBPD7BGXS2HJT76AKITY7SZDL77H","14","20005.0000024","20005.0000024","275005","20005.0000024"
"GBDB7XZUU4Y7Q4HBOS5Z4UWARA547ZNQZV7DK4INBRYI5IUBLWFIQEQQ","3","269828.9475614","300953.4539895","269828.9475614","294496.3568953"
"GA6RBPN6EQXFYSRRPDVAFAH576A33YF7YPHTR6KVLPC7QZBU6VUL3C2N","1","155893.4649088","155893.4649088","240151.3037439","81617.678185"
"GCFCQSOZAOAWIFNYMAOJMCSDUEQPH5HX3C4X7JMUAZNDMIES7POPL6GL","0","222000","222000","222000","222000"
"GD6XKMDUGAETUML334JBZQAS5O3RYXTHJHHIZ4DC4H2AAL2VEMRDH5LN","8","107854.8528609","203522.25402","197854.8528609","203522.25402"
"GD6ESFTN3Q62K4LICDQJQ4XRSBU65XCT43YSKTSDFUPNTDEIPENTDL6I","2","190000","220000","190000","220000"
"GDYIGHBPIYA3PZDEFKR3NTSAB5IROENI3KCZRIOCA4XMRMGSB7R23FJL","0","189653.9007942","189653.9007942","189653.9007942","189653.9007942"
"GASS4FA63QASQZY6TYXE2EVIBAEXR74FPMXUHGZ3XNRK7FTAISCKB3B4","26","100713.86","100713.86","166879.86","100713.86"
"GCE2JTQEAUQZINDTCWL522TWSSN7KMH2B7UUEV65MVOWRIMXBAVZQSZZ","1834","142305.1799996","142305.1799996","165654.98","142305.1799996"
"GAFLAVKBDXFQNWIS76AO44VTDJ2DFEDBHVHLBAFQB4LF7JQPXXUSPKJV","0","144604.873164","144604.873164","144604.873164","144604.873164"
"GCUZLF77KZDZTKL3ZO4CHLEKRSYQNZF6O2PDPES6YQNNBSUNJFRAGGED","1","115681.4788512","130681.4788512","115681.4788512","146215.1593098"
"GDE3SGV5D2Y7G4ZDQSNSARF2ZWSRW3CAZLHY5YZZ64KQNZRER2TMLDR6","0","111683.4554009","111683.4554009","111683.4554009","111683.4554009"
"GANEWUMQ5MR72JYFTCBMZLE45AGWBMS2LFSENGWNRUEAAJ7PYDLG7J4G","1","107500","122500","107500","122500"
"GA7W3SFEZ6BSBW3JDUA5622X7EDJF2PZQQTWZVDKF4HF47CRVH6UCDAV","2","104303","104303","106289","104303"
"GDCBV5SJ23Y7KNIH4LWDWMGZ7YJLP5TYQHC3YRP2GA2J76OMKCMGII4B","0","104764.8669893","104764.8669893","104764.8669893","104764.8669893"
"GAEN5BB7WT3WA46FIKP3JUK45C245RNGI3AP3QKRAV7P424QG2MSYBGH","0","103184.8647555","103184.8647555","103184.8647555","103184.8647555"
"GALGKXOO35MTL3K5QOVP6LFDDWNPOU4C4YO6OHJJ7GNKDLVGR65EBNQF","0","102406.0109944","102406.0109944","102406.0109944","102406.0109944"
"GDE5KFDFJMRIRZFFFXNEGMYBA4BX33IKKWGX77LHC3CDYQSY77FALR5X","1","101184.3599011","102496.7948204","101184.3599011","102496.7948204"
"GARYFLFUDVGDN4WBPCUZXCO4S672XKXZ3AAEDIB7ZLQ4O2QA5AA3UDUN","1","101000","108527.3704953","101000","101027.3928836"
"GCLLKFIALGA3QLFVXU2RWLCKGIFJFQXVZR4UNMYURA2LUQMRWE6NH3YN","0","100961.0564396","100961.0564396","100961.0564396","100961.0564396"
"GDFY2Q6EWQCDKROUPIYDBRUYKZEYEQCFJQVQ5TBHCF2NRHV7Q2ZEMBJB","1","100668.3949627","101168.3949627","100668.3949627","101168.3949627"
"GBZQCPHI62UGEFJN677UFX4C5DKZDZPLQZT6C7IJH5N6PWGKLT5P4J2E","0","100081.5135588","100081.5135588","100081.5135588","100081.5135588"
"GB3DSBKEYC46TQOV4DQOESR6PNTX27UWPKX3PHHAE2O6EX46TLSO4FED","0","100047.2929986","100047.2929986","100047.2929986","100047.2929986"
"GCU5BE7MEKSLWO6MDFRWIHY7BGDJ7IHAJPGJ5PZO534Y3DW2GFIMX4CS","0","100043.5801914","100043.5801914","100043.5801914","100043.5801914"
"GACI727MHZHUWCFIX6NMFTBBN7TSWQS27H7KM4XPP6OOMF77LXG5AZZG","30","100002.4009314","100002.4009314","100002.4009314","106756.2818371"
"GBTQX3Y3K2UGYTWR4B2HWTHDDLLTMKBURP56WLWC3QOYNJEAUBAO6K6C","5","100001","100001","100001","100001"
"GAMBFDFV6EFZ75KHTCVFYXN5VA5X7L5BZLFCYMUHDGPAQ3NJL3KQFGZI","0","100000.0000048","100000.0000048","100000.0000048","100000.0000048"
"GCAGYMIQOCNCOYPHRMACMLC6UZDRDKY74HGRZL4UDFWEWFPWGCC7RBUH","0","100000.0000035","100000.0000035","100000.0000035","160000.0000035"
"GBUNFHB6IQI35WGCL7PPXIEPYRQ2ZOG22VN7S424LUIFPZ3NF33YM2N2","0","100000","100000","100000","100000"
"GCAYICZBEIGVS7I4UKQCBPQSW6MWGAK6VRVKEGMCU7AVIHHISWWAR45X","0","78331.107144","78331.107144","78331.107144","78331.107144"
"GAFGNN4MUPP5TBRMQCRD54Z5AHJKS3P5435JVDLDJXSPXXOZ2PPWBOFW","2","65000","80010","65000","80010"
"GBCWAC4YXKD76MG7TKUIIKQ6E54JEWBTZV22NOLLRKAP72PZXSZ4JJZN","0","60001","60001","60001","60001"
"GA3EIZS33VBEEOZBT4FKBCFXTHY2KSJWXT3SG4GHWNDB4COBH7JN3T35","7","50627.7176612","150627.7176612","53453.0546659","104189.7155295"
"GCFIZTA4TZ7TI3RIONACTKK3XO3CL76AG2DFLTDQBFKGDP4DTTKCEKUN","0","50760.19","50760.19","50760.19","50760.19"
"GDJCUFV5SAZUW2EYDGENXMCV74T2HPXU72EQTMWZK5TPXA2HQ2336OJ6","0","50022.0100005","50022.0100005","50022.0100005","50022.0100005"
"GB64GQA6JT7ONV4BRQEMXAWBOQ3LP5DX33YWERYMMP7Y5XNLATP74JM2","0","45000","45000","45000","45000"
"GABS63HY2FUNN5MJI3FBWO3TE5RENIYZVG6P7PHMQD34HXZ6PGIPNKWN","1","44000","59000","44000","59000"
"GAVC5ZKYNC2WIPL52RPKGWF7JLBHRJKJG2JIQL5YEAZ2O5N3GANLFIPN","0","42190.2509149","42190.2509149","42190.2509149","175305.3347225"
"GBRM7XXSX6YHW4MZ6JCHBTII2ZZL5VXLNEK3T4GE6MPN2WMVT2DUI6FU","0","40512.2884514","40512.2884514","40512.2884514","40512.2884514"
"GBALFN22CPD6WGWHV5XXLN2ZHJH7Z3KQ5J5UOM7O35LHG4723JNDRSVZ","0","40099.9999975","40099.9999975","40099.9999975","40099.9999975"
"GCASVG5QMAWR5EQHHFFUQ22CZCGGIDQ3BNFJFN6EUCI5YYZ6LZ2PBGL6","0","39501.8075461","39501.8075461","39501.8075461","39501.8075461"
"GBDQ2HBMW473V4W3RGYABC67DLZMBYFCGWJFGXUBHFZ7DBHJEX5AJIHK","0","35692.5510247","35692.5510247","35692.5510247","35692.5510247"
"GDFB7Z6JDFEE6V6HHLQEUVIVCJIW6DVT7Q6RRNJNVPGOI7POXHUM6UIG","1","10000","10000","35000","10000"
"GCVQV7O52H3MR663CEGSS7MRIZN33H5T4XZK6FT3B3EJZDDPXLBV3VYJ","0","34640.1588274","34640.1588274","34640.1588274","34640.1588274"
"GDPZIBZSIDWFXKJ7GPN6C5JBSGJ7ZET7ROCVD3PSHW2AXCIYCBB2YNH4","0","32012.2300038","32012.2300038","32012.2300038","50512.2300064"
"GAE5OSS43AJYKB5JONAPGIFXLJKTVOHWGHL5RUMZXKHVI6ZMD4VSWPRE","0","31000","31000","31000","31000"
"GDLMA2MBXXZSTWMIMKHWKLQAVN72AJEMQDBOEU7QZ25XKLKMXCQW4NXR","0","30806.7473266","30806.7473266","30806.7473266","30806.7473266"
"GD25BW4XCONGQWYLSOO4PGMRBX5MP747QHQV3JYW56FNJ4RDPPVQFGWT","9","30164.3032589","85164.303259","30164.3032589","101164.303258"
"GDTJIEXBS6HCYF4N5TF4YNWNWDYACSKBXXZBEFJUXCJMKJCMEDUIT63U","0","30000.7839615","30000.7839615","30000.7839615","30000.7839615"
"GBFKWMDXNWO4D5X7FYSN3DPRPSZE5N5GDQ3YLDGULTECXF5FRLQHUOG7","0","30000.0000013","30000.0000013","30000.0000013","278539.9999701"
"GBWU62SCNDPQLBOLPFUAQ2G67XT77XDW2XETU2SVOIEHDUJNCSVBTJZP","0","27062.4636256","27062.4636256","27062.4636256","27062.4636256"
"GBH42N7IA4RTOBRPZW3ZTDBGU4I7Z6BFF4A74ZR4OR3IUMXGTTQKGPDB","0","25571.8275743","25571.8275743","25571.8275743","25571.8275743"
"GBXJVNKTOIOKZUMU4Y7YOEYWZFSTQKZPWURYS7JGERR7IW5LGBWSGQTX","0","25415.8654765","25415.8654765","25415.8654765","25415.8654765"
"GCH6D4JOCPKSUHKTDSBTOT3BE5UDZ4V4RCVGOVBKY2TUQO26SGUMTPXG","0","25037.6125639","25037.6125639","25037.6125639","25037.6125639"
